sid,season,name,detector,distance_threshold_km,lat_gate_degN,window_steps,zonal_threshold_km_6h,zonal_pre_max_km_6h,recurv_i,recurv_original_time_index,recurv_time,recurv_lat,recurv_lon,box_hit,min_dist_km,closest_proxy_idx,closest_proxy,nl_relevant
1964257N15316,1964,GLADYS,zonal,600.0,25.0,4,30.0,30.0,81,81,1964-09-23 09:00:00.000040448,35.96211242675781,-72.06603240966797,True,164.55353549858089,0,St. John's (Avalon Peninsula),True
1965165N23269,1965,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,8,8,1965-06-14 18:00:00.000040448,27.100000381469727,-90.20000457763672,True,428.414418328692,0,St. John's (Avalon Peninsula),True
1965247N36306,1965,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,5,5,1965-09-04 15:00:00.000040448,36.39981460571289,-52.872379302978516,False,580.3011787671669,0,St. John's (Avalon Peninsula),True
1966181N29296,1966,BECKY,zonal,600.0,25.0,4,30.0,30.0,6,6,1966-06-30 18:00:00.000040448,31.200000762939453,-63.79999923706055,True,396.9188646701415,1,Corner Brook region (west coast),True
1966194N17303,1966,CELIA,zonal,600.0,25.0,4,30.0,30.0,51,51,1966-07-19 09:00:00.000040448,26.599910736083984,-76.05235290527344,True,92.10930879261304,4,Labrador coast proxy,True
1967241N16324,1967,ARLENE,zonal,600.0,25.0,4,30.0,30.0,40,40,1967-09-02 18:00:00.000040448,36.099998474121094,-56.599998474121094,True,329.8826823580827,0,St. John's (Avalon Peninsula),True
1967287N27289,1967,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,27,27,1967-10-17 15:00:00.000040448,34.249874114990234,-73.38249206542969,False,458.1862869742434,1,Corner Brook region (west coast),True
1968254N32282,1968,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,19,19,1968-09-12 06:00:00.000040448,47.79999923706055,-70.9000015258789,True,64.633989620385,4,Labrador coast proxy,True
1968288N14280,1968,GLADYS,zonal,600.0,25.0,4,30.0,30.0,45,45,1968-10-19 03:00:00.000040448,28.6182861328125,-82.8000259399414,True,400.10983891663625,1,Corner Brook region (west coast),True
1969206N09333,1969,ANNA,zonal,600.0,25.0,4,30.0,30.0,69,69,1969-08-02 21:00:00.000040448,33.21686935424805,-74.3438949584961,False,563.1064842016103,0,St. John's (Avalon Peninsula),True
1969223N26288,1969,BLANCHE,zonal,600.0,25.0,4,30.0,30.0,5,5,1969-08-11 09:00:00.000040448,31.28225326538086,-71.43000030517578,True,116.01157636965418,0,St. John's (Avalon Peninsula),True
1969226N18280,1969,CAMILLE,zonal,600.0,25.0,4,30.0,30.0,42,42,1969-08-19 00:00:00.000040448,34.70000076293945,-90.0,False,516.9755069894976,0,St. John's (Avalon Peninsula),True
1969227N13325,1969,DEBBIE,zonal,600.0,25.0,4,30.0,30.0,56,56,1969-08-21 12:00:00.000040448,28.399999618530273,-64.80000305175781,True,72.16735502128225,0,St. John's (Avalon Peninsula),True
1969250N26280,1969,GERDA,zonal,600.0,25.0,4,30.0,30.0,11,11,1969-09-08 09:00:00.000040448,29.904781341552734,-79.34417724609375,False,579.3256361572672,1,Corner Brook region (west coast),True
1969265N34288,1969,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,25,25,1969-09-24 15:00:00.000040448,37.942466735839844,-65.39488220214844,True,143.2348753990043,0,St. John's (Avalon Peninsula),True
1969281N20292,1969,KARA,zonal,600.0,25.0,4,30.0,30.0,25,25,1969-10-10 15:00:00.000040448,29.14240837097168,-71.72976684570312,False,496.54241409143856,0,St. John's (Avalon Peninsula),True
1970220N14342,1970,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,76,76,1970-08-17 00:00:00.000040448,32.20000076293945,-78.5,True,142.91796233204047,0,St. John's (Avalon Peninsula),True
1971186N34285,1971,ARLENE,zonal,600.0,25.0,4,30.0,30.0,7,7,1971-07-05 09:00:00.000040448,35.5423583984375,-74.02202606201172,True,115.83514350915625,0,St. John's (Avalon Peninsula),True
1971216N31297,1971,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,9,9,1971-08-04 15:00:00.000040448,34.01216125488281,-64.88902282714844,True,331.4535280782381,0,St. John's (Avalon Peninsula),True
1971223N27280,1971,BETH,zonal,600.0,25.0,4,30.0,30.0,19,19,1971-08-12 21:00:00.000040448,32.97266387939453,-75.67300415039062,True,30.293467745923277,1,Corner Brook region (west coast),True
1972243N29282,1972,CARRIE,zonal,600.0,25.0,4,30.0,30.0,42,42,1972-09-03 18:00:00.000040448,40.599998474121094,-70.19999694824219,False,433.84102991805315,1,Corner Brook region (west coast),True
1973183N26292,1973,ALICE,zonal,600.0,25.0,4,30.0,30.0,31,31,1973-07-05 15:00:00.000040448,37.53217697143555,-64.1427001953125,True,70.18688144798094,4,Labrador coast proxy,True
1973289N16278,1973,GILDA,zonal,600.0,25.0,4,30.0,30.0,59,59,1973-10-23 15:00:00.000040448,25.62738037109375,-75.55985260009766,True,91.08963325806596,0,St. John's (Avalon Peninsula),True
1974197N29285,1974,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,5,5,1974-07-16 15:00:00.000040448,31.60731315612793,-73.3792953491211,False,368.8544131557955,0,St. John's (Avalon Peninsula),True
1975178N28281,1975,AMY,zonal,600.0,25.0,4,30.0,30.0,11,11,1975-06-28 09:00:00.000040448,32.86494064331055,-78.4177017211914,True,299.5979528123935,0,St. John's (Avalon Peninsula),True
1975205N26292,1975,BLANCHE,zonal,600.0,25.0,4,30.0,30.0,17,17,1975-07-26 03:00:00.000040448,31.5921630859375,-74.88939666748047,False,383.53886267431443,1,Corner Brook region (west coast),True
