dataset_index,sid,season,name,recurv_time,box_hit,minimum_proxy_distance_km,recurv_index,recurv_lat,recurv_lon,legacy_pre_zonal_km_per_increment,legacy_post_zonal_km_per_increment
6793,1963291N26288,1963,GINNY,1963-10-25 15:00:00,False,368.55853667780974,63,31.97248649597168,-79.35230255126953,2.3664534473230003,32.948461954364255
6859,1964205N34279,1964,NOT_NAMED,1964-07-24 21:00:00,True,230.4815117577991,15,36.49222946166992,-74.60987091064453,15.664751606665755,33.50674476974752
6876,1964234N13316,1964,CLEO,1964-08-31 00:00:00,True,231.64201662206327,88,35.099998474121094,-81.0999984741211,16.409190010309416,33.19968801927174
6883,1964242N14343,1964,DORA,1964-09-12 12:00:00,True,88.5640461738967,120,31.400001525878906,-84.19999694824219,6.599742412622671,37.07527084399267
6887,1964248N18324,1964,ETHEL,1964-09-12 18:00:00,False,484.59521099715823,68,31.900001525878906,-66.9000015258789,-1.284025684969757,37.51109668901431
6893,1964257N15316,1964,GLADYS,1964-09-23 09:00:00,True,164.55353549858089,81,35.96211242675781,-72.06603240966797,-0.04816690936596091,33.38529394606911
6984,1965165N23269,1965,NOT_NAMED,1965-06-14 18:00:00,True,428.414418328692,8,27.100000381469727,-90.20000457763672,15.02342268733035,37.25093633053955
7024,1965247N36306,1965,NOT_NAMED,1965-09-04 15:00:00,False,580.3011787671669,5,36.39981460571289,-52.872379302978516,29.19395018802468,35.7480570325338
7099,1966181N29296,1966,BECKY,1966-06-30 18:00:00,True,396.9188646701415,6,31.200000762939453,-63.79999923706055,0.8379242812790013,35.77267337519374
7101,1966194N17303,1966,CELIA,1966-07-19 09:00:00,True,92.10930879261304,51,26.599910736083984,-76.05235290527344,5.000133099941163,37.12014715551458
7279,1967241N16324,1967,ARLENE,1967-09-02 18:00:00,True,329.8826823580827,40,36.099998474121094,-56.599998474121094,-4.325173976105975,33.31716525491887
7318,1967287N27289,1967,NOT_NAMED,1967-10-17 15:00:00,False,458.1862869742434,27,34.249874114990234,-73.38249206542969,-14.238809290346953,36.32142221156896
7432,1968254N32282,1968,NOT_NAMED,1968-09-12 06:00:00,True,64.633989620385,19,47.79999923706055,-70.9000015258789,26.769176510115987,36.84392677766717
7449,1968288N14280,1968,GLADYS,1968-10-19 03:00:00,True,400.10983891663625,45,28.6182861328125,-82.8000259399414,24.573098163568115,30.60956848233389
7519,1969206N09333,1969,ANNA,1969-08-02 21:00:00,False,563.1064842016102,69,33.21686935424805,-74.3438949584961,-9.674111239427654,45.60883105941473
7529,1969223N26288,1969,BLANCHE,1969-08-11 09:00:00,True,116.01157636965418,5,31.28225326538086,-71.43000030517578,2.4189617767186253,39.47691001827631
7532,1969226N18280,1969,CAMILLE,1969-08-19 00:00:00,False,516.9755069894976,42,34.70000076293945,-90.0,-7.635525815059578,30.923787493166337
7533,1969227N13325,1969,DEBBIE,1969-08-21 12:00:00,True,72.16735502128225,56,28.399999618530273,-64.80000305175781,-10.519419134837035,38.398128179224244
7547,1969250N26280,1969,GERDA,1969-09-08 09:00:00,False,579.3256361572672,11,29.904781341552734,-79.34417724609375,19.48286854647787,38.259963877310504
7561,1969265N34288,1969,NOT_NAMED,1969-09-24 15:00:00,True,143.2348753990043,25,37.942466735839844,-65.39488220214844,11.120957562598747,34.815456015302644
7574,1969281N20292,1969,KARA,1969-10-10 15:00:00,False,496.5424140914385,25,29.14240837097168,-71.72976684570312,19.564520554508704,33.88386902935693
7679,1970220N14342,1970,NOT_NAMED,1970-08-17 00:00:00,True,142.91796233204047,76,32.20000076293945,-78.5,-0.18092031956083066,36.543112895486466
7825,1971186N34285,1971,ARLENE,1971-07-05 09:00:00,True,115.83514350915625,7,35.5423583984375,-74.02202606201172,20.596982350187545,31.489244113980433
7845,1971216N31297,1971,NOT_NAMED,1971-08-04 15:00:00,True,331.4535280782381,9,34.01216125488281,-64.88902282714844,-11.74038561550791,34.14571636190898
