dataset_index,sid,season,name,detector,newfoundland_relevant,minimum_distance_to_newfoundland_km,closest_fraction_along_post_track,closest_at_track_endpoint,post_recurvature_duration_hours,recurv_index,recurv_time,recurv_lat,recurv_lon,pre_u_kmh,post_u_kmh,post_v_kmh,delta_u_kmh,nature_at_recurvature,status_at_recurvature
11910,2005241N14315,2005,LEE,velocity,False,1059.086610033959,1.0,True,96.0,9,2005-08-30 18:00:00,25.500001907348633,-53.599998474121094,-4.817373576805846,14.359182388549073,21.31236270760285,19.17655596535492,DS,LO
11912,2005245N19315,2005,MARIA,velocity,False,994.1165827581863,0.22651121725622825,False,198.0,17,2005-09-05 18:00:00,32.099998474121094,-56.70000076293945,-2.8114502910167314,5.030880685816291,8.339633637507983,7.842330976833022,TS,HU
11914,2005249N26281,2005,OPHELIA,velocity,True,0.0,0.3855759556030336,False,210.0,32,2005-09-14 06:00:00,32.900001525878906,-78.0,-0.3952929795056175,6.5334011343572564,7.412988040054181,6.928694113862874,TS,HU
11926,2005261N21290,2005,RITA,velocity,False,2521.1220306054156,1.0,True,42.0,26,2005-09-24 12:00:00,30.5,-94.10000610351562,-10.585962633421524,6.158155057052879,19.4591156975893,16.744117690474404,TS,HU
11956,2005333N32311,2005,EPSILON,velocity,False,1524.2082631166115,0.2536483189708127,False,216.0,6,2005-11-30 18:00:00,30.100000381469727,-54.20000076293945,-13.498455366006052,11.604097558515033,6.023063828767544,25.102552924521085,TS,TS
11987,2006161N20275,2006,ALBERTO,velocity,True,0.0,0.5389975414959574,False,168.0,8,2006-06-12 06:00:00,25.799999237060547,-87.4000015258789,-1.3034792989975805,12.364656771304423,13.899365830569847,13.668136070302003,TS,TS
12017,2006237N13298,2006,ERNESTO,velocity,False,1152.4411900250202,1.0,True,108.0,24,2006-08-30 18:00:00,27.0,-80.9000015258789,-4.211441596923527,6.819003343268973,22.702304592847128,11.030444940192499,TS,TS
12021,2006247N14321,2006,FLORENCE,velocity,True,0.0,0.35987113593479486,False,192.0,29,2006-09-11 00:00:00,30.400001525878906,-66.19999694824219,-6.5767975585190985,8.134442289587163,20.849048745854763,14.711239848106262,TS,HU
12025,2006254N20306,2006,GORDON,velocity,False,1181.4258124395715,0.1037616315191077,False,186.0,25,2006-09-17 00:00:00,31.899999618530273,-53.79999923706055,-1.18995850758929,6.543778379957267,14.362679792317909,7.7337368875465575,TS,HU
12026,2006256N12338,2006,HELENE,velocity,False,1196.7968869706847,0.27016499936634736,False,150.0,36,2006-09-21 12:00:00,29.0,-57.0,-4.169107462252192,7.450515631232264,21.31235387062404,11.619623093484456,TS,HU
12037,2006271N26307,2006,ISAAC,velocity,True,47.822826345702474,0.7621018365863008,False,54.0,14,2006-10-01 06:00:00,32.79999923706055,-60.20000076293945,-9.911119868374438,8.03135576731977,32.43185360466295,17.94247563569421,TS,HU
12107,2007227N24269,2007,ERIN,velocity,False,3409.558787144114,1.0,True,42.0,12,2007-08-18 00:00:00,31.799997329711914,-101.80001068115234,-12.789258584732806,6.537773625388564,13.899374667548628,19.32703221012137,DS,LO
12113,2007251N30288,2007,GABRIELLE,velocity,False,1278.5604719722269,1.0,True,42.0,6,2007-09-09 12:00:00,34.29999923706055,-76.4000015258789,-10.166699304243679,9.695569839155759,12.97273790707365,19.862269143399438,TS,TS
12133,2007285N30307,2007,NOT_NAMED,velocity,False,1468.3440158394146,0.24486098622101915,False,108.0,7,2007-10-13 06:00:00,31.30000114440918,-50.29999923706055,-2.7775148411452113,7.773515558601302,11.119490897060112,10.551030399746512,DS,LO
12190,2008185N13337,2008,BERTHA,velocity,False,752.614959250936,0.5518120730646963,False,156.0,46,2008-07-14 18:00:00,32.5,-64.0999984741211,-4.758458523556075,6.101660442496893,17.142554725827658,10.86011896605297,TS,TS
12209,2008229N18293,2008,FAY,velocity,False,2253.7229883298282,1.0,True,78.0,38,2008-08-25 00:00:00,31.299999237060547,-90.0,-13.053827980857305,5.495710186581813,6.4863777905156494,18.549538167439117,TS,TD
12212,2008238N13293,2008,GUSTAV,velocity,False,1966.6185035869228,1.0,True,48.0,38,2008-09-03 12:00:00,33.79999923706055,-94.40000915527344,-3.4962756086859232,7.970541259757796,11.119499734038907,11.466816868443718,TS,TD
12213,2008241N19303,2008,HANNA,velocity,True,0.0,0.9543577664615388,False,66.0,35,2008-09-05 18:00:00,29.899999618530273,-78.69999694824219,-18.211411172142753,7.432990853575644,36.60166158643816,25.6444020257184,TS,TS
12214,2008245N17323,2008,IKE,velocity,False,887.6020674544594,1.0,True,48.0,49,2008-09-13 12:00:00,30.299997329711914,-95.20000457763672,-12.249490314780562,15.795351569149501,33.82179548990724,28.04484188393006,TS,HU
12224,2008269N21290,2008,KYLE,velocity,True,106.81528917260867,1.0,True,66.0,11,2008-09-27 18:00:00,33.29999923706055,-69.69999694824219,-4.409944555970173,10.771249324766815,38.454908596451695,15.181193880736988,TS,HU
12225,2008270N39325,2008,LAURA,velocity,True,471.0152357022609,0.24635306656341696,False,90.0,18,2008-09-30 12:00:00,40.599998474121094,-48.900001525878906,-4.363197972877597,6.700223793203065,23.62893251634331,11.063421766080662,TS,TS
12306,2009227N12328,2009,BILL,velocity,True,0.0,0.4163597243864848,False,84.0,29,2009-08-22 12:00:00,34.099998474121094,-68.80000305175781,-11.2256730743342,12.043049038454946,38.45492627040932,23.268722112789145,TS,HU
12331,2009271N46317,2009,GRACE,velocity,False,2004.9537777333976,0.0,False,66.0,25,2009-10-04 00:00:00,39.099998474121094,-31.299999237060547,-0.9414071261368013,36.10587548732274,5.096444742250159,37.047282613459544,DS,LO
12342,2009308N11279,2009,IDA,velocity,False,3051.4361864369903,1.0,True,36.0,22,2009-11-09 18:00:00,27.900001525878906,-88.5999984741211,-10.113916602864562,5.5977902737234,12.509432782304371,15.71170687658796,TS,HU
12397,2010222N26277,2010,NOT_NAMED,velocity,False,2831.1759723691316,0.3501478381821122,False,120.0,11,2010-08-13 00:00:00,30.000001907348633,-88.9000015258789,-2.0221922590713413,6.337659687592515,9.266235050067749,8.359851946663856,DS,LO
12400,2010234N11329,2010,DANIELLE,velocity,False,684.4475220641681,0.34965970296851956,False,144.0,26,2010-08-28 00:00:00,27.700000762939453,-60.5,-13.273211894104081,5.195838955114728,14.825976080108394,18.46905084921881,TS,HU
12402,2010236N12341,2010,EARL,velocity,True,0.0,0.8243004038543441,False,84.0,38,2010-09-02 12:00:00,30.10000228881836,-74.80000305175781,-13.218130066921091,5.311780716770465,27.798713987182072,18.529910783691555,TS,HU
12406,2010242N14318,2010,FIONA,velocity,False,1575.2826122042482,1.0,True,42.0,16,2010-09-03 00:00:00,26.299999237060547,-67.0,-13.629768714132902,8.068744696469338,20.385743621085467,21.69851341060224,TS,TS
12410,2010247N15266,2010,HERMINE,velocity,False,3180.002592266825,1.0,True,42.0,18,2010-09-08 06:00:00,31.600000381469727,-99.50000762939453,-7.279947289885652,8.820459768758928,18.069173812345014,16.10040705864458,TS,TD
12412,2010251N14337,2010,IGOR,velocity,True,0.0,0.6361802420398127,False,84.0,45,2010-09-19 12:00:00,29.600000381469727,-65.5999984741211,-9.463511485965906,5.376977793822595,25.482161852399223,14.840489279788502,TS,HU
12413,2010255N13340,2010,JULIA,velocity,False,1399.8522148960717,0.22298050470975123,False,138.0,27,2010-09-19 00:00:00,31.399999618530273,-51.79999923706055,-12.696496933025383,9.939555656910136,16.21593563931027,22.636052589935517,TS,TS
12433,2010302N26299,2010,SHARY,velocity,False,1105.8762017267786,1.0,True,24.0,4,2010-10-29 18:00:00,30.200000762939453,-65.80000305175781,-18.94204966161068,47.40570980316886,31.5052256811668,66.34775946477954,TS,TS
12488,2011214N15299,2011,EMILY,velocity,False,2416.5339028518274,1.0,True,30.0,18,2011-08-06 12:00:00,25.600000381469727,-78.0999984741211,-7.6690150843291,6.916229333282444,18.995792898862398,14.585244417611545,DS,LO
12491,2011225N26302,2011,GERT,velocity,True,571.1251824347995,0.8359142777062113,False,66.0,7,2011-08-15 00:00:00,29.600000381469727,-63.29999923706055,-7.365054445036211,6.599173257987176,21.312362707602837,13.964227703023386,TS,TS
12500,2011239N27301,2011,JOSE,velocity,False,1126.8219649111031,1.0,True,24.0,8,2011-08-28 12:00:00,30.899999618530273,-65.69999694824219,-9.336945184002378,7.0673994596922185,34.28510061467652,16.404344643694596,TS,TS
12501,2011240N10341,2011,KATIA,velocity,True,396.9119351308508,0.37093113133218353,False,108.0,45,2011-09-08 06:00:00,31.5,-70.0999984741211,-10.106972944383768,6.39374083016615,25.945475814147333,16.50071377454992,TS,HU
12503,2011244N37296,2011,NOT_NAMED,velocity,True,530.3931010554485,1.0,True,36.0,7,2011-09-02 06:00:00,37.79999923706055,-63.70000076293945,-0.0012313309657513427,13.667223627594852,14.826011428023634,13.668454958560604,TS,TS
12505,2011245N27269,2011,LEE,velocity,False,2669.0724827017502,1.0,True,54.0,10,2011-09-04 12:00:00,29.700000762939453,-92.00000762939453,-0.007541596189438948,7.590990468383454,4.169807981775211,7.598532064572893,SS,SS
12507,2011250N12324,2011,MARIA,velocity,True,16.605757065763193,1.0,True,48.0,32,2011-09-14 18:00:00,25.799997329711914,-69.30000305175781,-5.528346953747083,9.63959654125062,36.60167926039578,15.167943494997704,TS,TS
12511,2011263N12323,2011,OPHELIA,velocity,True,0.0,0.5931298070394755,False,72.0,45,2011-10-01 12:00:00,28.899999618530273,-63.099998474121094,-0.4467912932146724,5.787598468695127,39.38154535692671,6.234389761909799,TS,HU
12514,2011266N08343,2011,PHILIPPE,velocity,False,1324.936662734173,1.0,True,78.0,51,2011-10-05 18:00:00,25.500001907348633,-61.099998474121094,-6.323474575939425,5.762546787843151,12.509432782304383,12.086021363782576,TS,TS
12526,2011310N29290,2011,SEAN,velocity,True,471.66272374205414,1.0,True,66.0,16,2011-11-10 00:00:00,29.000001907348633,-70.69999694824219,-2.45311462054601,6.7756447598738,9.266235050067749,9.22875938041981,TS,TS
12559,2012140N33283,2012,ALBERTO,velocity,False,1462.971595391292,1.0,True,60.0,9,2012-05-21 06:00:00,30.400001525878906,-79.80000305175781,-4.335188264975795,14.745273781081284,5.096435905271363,19.08046204605708,TS,TS
12562,2012147N30284,2012,BERYL,velocity,False,914.0753843849667,0.8024824431109607,False,96.0,14,2012-05-29 00:00:00,30.600000381469727,-83.19999694824219,-10.001533950485559,5.518014166420819,6.486368953536825,15.519548116906378,TS,TD
12568,2012169N29291,2012,CHRIS,velocity,False,804.3680693076517,0.0,False,30.0,25,2012-06-23 06:00:00,40.900001525878906,-47.400001525878906,-11.434883780161307,31.189843611744195,9.266261561004164,42.6247273919055,ET,EX
12593,2012242N13333,2012,LESLIE,velocity,True,0.0,0.6419196287578436,False,60.0,48,2012-09-09 12:00:00,31.500001907348633,-62.499996185302734,-0.006690744906264978,6.4847539022123515,22.70229575586833,6.491444647118616,TS,TS
12594,2012242N24317,2012,KIRK,velocity,False,1097.2952852894784,0.5298205755436196,False,66.0,10,2012-08-31 06:00:00,29.600000381469727,-50.70000076293945,-8.645941993189332,6.967563273467787,23.16560088063761,15.61350526665712,TS,HU
12595,2012246N29323,2012,MICHAEL,velocity,False,798.7056018138982,0.9106850003900749,False,168.0,13,2012-09-05 06:00:00,27.799999237060547,-43.79999923706055,-3.3123377464711736,7.314076233960481,7.412996877033006,10.626413980431655,TS,TS
12598,2012255N16322,2012,NADINE,velocity,False,1620.4708736190314,0.8338522474987958,False,480.0,15,2012-09-14 06:00:00,25.600000381469727,-54.0,-14.5021458925021,7.2642886501766935,22.702295755868303,21.766434542678795,TS,TS
12613,2012287N15297,2012,RAFAEL,velocity,True,413.5431668032206,0.2860571201765712,False,246.0,14,2012-10-16 06:00:00,25.899999618530273,-65.30000305175781,-0.4640089693582381,14.344941599156982,37.52828950993434,14.80895056851522,TS,HU
12617,2012296N14283,2012,SANDY,velocity,False,1555.9771700665126,0.7568318806883875,False,114.0,20,2012-10-26 18:00:00,27.0,-77.19999694824219,-7.956706761065817,6.499140467873525,12.50943278230437,14.455847228939342,TS,HU
12668,2013204N11340,2013,DORIAN,velocity,False,2279.424194143168,1.0,True,36.0,44,2013-08-02 18:00:00,27.399999618530273,-79.4000015258789,-4.201254457072466,5.214894378039434,17.142554725827672,9.4161488351119,TS,TD
12701,2013271N21310,2013,JERRY,velocity,False,2127.747325029212,0.4212473196119982,False,90.0,17,2013-10-02 06:00:00,28.100000381469727,-43.900001525878906,-1.2253536049368055,8.906648106127376,9.26624388704656,10.13200171106418,TS,TS
12724,2013321N24308,2013,MELISSA,velocity,False,1317.8761155681389,0.3373876682583364,False,102.0,8,2013-11-19 00:00:00,30.200002670288086,-54.5,-7.2738191102160705,5.047753691669202,14.36266211836032,12.321572801885273,SS,SS
12772,2014180N32282,2014,ARTHUR,velocity,True,23.007302296861255,0.7032458308694105,False,156.0,18,2014-07-03 06:00:00,30.89999771118164,-79.0999984741211,-0.0007101442090174381,11.964562881411247,20.38574362108548,11.965273025620265,TS,HU
12785,2014210N10323,2014,BERTHA,velocity,True,216.0077204928309,0.5078981810595581,False,114.0,26,2014-08-04 18:00:00,28.5,-73.5999984741211,-4.650317412612645,9.234927020991869,32.431853604662955,13.885244433604512,TS,HU
12793,2014236N22288,2014,CRISTOBAL,velocity,True,419.7647600967634,0.4147941043314376,False,138.0,15,2014-08-27 12:00:00,31.600000381469727,-72.19999694824219,-1.559263235146445,19.531903080018694,21.77566783237212,21.09116631516514,TS,HU
12801,2014254N14327,2014,EDOUARD,velocity,False,988.8786293095252,0.4055410655693917,False,138.0,23,2014-09-16 12:00:00,30.600000381469727,-57.79999923706055,-11.003940995137164,12.689720319637734,23.628923679364483,23.6936613147749,TS,HU
12810,2014283N22299,2014,FAY,velocity,False,1529.4086468863536,1.0,True,36.0,6,2014-10-11 12:00:00,27.200000762939453,-65.30000305175781,-8.402565895072897,5.501533849027548,27.33540886241279,13.904099744100446,TS,TS
12812,2014285N16305,2014,GONZALO,velocity,True,68.00579986435304,0.6247948987065698,False,90.0,19,2014-10-16 12:00:00,25.600000381469727,-68.69999694824219,-4.239981753480275,9.015484978094191,19.45909802363168,13.255466731574465,TS,HU
12852,2015126N27281,2015,ANA,velocity,False,804.1027349108083,1.0,True,54.0,17,2015-05-10 12:00:00,33.900001525878906,-78.80000305175781,-3.880283394016567,5.6713736086707724,10.656176935312036,9.551657002687339,TS,TS
12858,2015167N27266,2015,BILL,velocity,False,2071.845101209278,1.0,True,78.0,7,2015-06-17 18:00:00,32.599998474121094,-97.50000762939453,-3.2017557471841487,7.642963684055205,12.04612765753509,10.844719431239355,TS,TD
12926,2015313N22289,2015,KATE,velocity,True,598.1457555250538,0.8918552904165464,False,90.0,4,2015-11-09 18:00:00,25.0,-75.69999694824219,-17.853967674185434,6.7596189114651875,28.725359584635857,24.613586585650623,TS,TS
12989,2016235N11341,2016,GASTON,velocity,False,1409.7505225692769,0.4028540909429647,False,120.0,32,2016-08-29 12:00:00,30.799999237060547,-55.400001525878906,-2.793598001870797,7.49656934009579,5.559749867019468,10.290167341966587,TS,HU
12993,2016240N31295,2016,NOT_NAMED,velocity,False,1598.5530631239537,1.0,True,30.0,15,2016-08-30 18:00:00,34.400001525878906,-74.9000015258789,-4.24516193783881,8.328655171097248,6.949682915284931,12.573817108936058,TS,TD
12994,2016242N24279,2016,HERMINE,velocity,False,1092.0400372517702,1.0,True,192.0,12,2016-08-31 18:00:00,25.100000381469727,-87.69999694824219,-1.6988874442162247,9.131802937503133,12.972737907073665,10.830690381719357,TS,TS
13003,2016256N20312,2016,IAN,velocity,False,797.5390759730805,0.4584852239460256,False,60.0,10,2016-09-14 12:00:00,30.500001907348633,-53.5,-5.730806257014705,7.54746574955968,26.87209490066469,13.278272006574385,TS,TS
13004,2016257N13341,2016,KARL,velocity,False,910.0360024653467,0.7595366840397232,False,60.0,43,2016-09-23 12:00:00,28.200000762939453,-64.9000015258789,-13.32093308356326,6.265484971110192,18.53248777409312,19.58641805467345,TS,TS
13005,2016257N27280,2016,JULIA,velocity,False,2016.3211887330851,0.9379063149015912,False,168.0,4,2016-09-14 06:00:00,30.500001907348633,-81.69999694824219,-6.100037288370659,8.675057459639007,6.486368953536825,14.775094748009666,TS,TS
13007,2016263N13333,2016,LISA,velocity,False,2091.9019457277104,1.0,True,24.0,25,2016-09-25 12:00:00,27.600000381469727,-42.5,-18.369616579642056,7.99627881763411,18.532487774093134,26.365895397276166,DS,LO
13012,2016273N13300,2016,MATTHEW,velocity,False,1744.169557948784,1.0,True,54.0,37,2016-10-07 18:00:00,29.700000762939453,-80.69999694824219,-9.858269029614018,6.646389930470386,17.605859850596964,16.504658960084406,TS,HU
13015,2016278N23300,2016,NICOLE,velocity,False,914.6511329636775,0.4604369103021939,False,168.0,33,2016-10-12 12:00:00,28.000001907348633,-66.9000015258789,-4.527633927713515,6.394612234987914,16.679231927100787,10.922246162701429,TS,HU
13067,2017171N24271,2017,CINDY,velocity,False,1873.8255620488287,1.0,True,42.0,11,2017-06-22 12:00:00,30.5,-93.80001068115234,-6.123190431065211,11.479250181591105,23.16560971761641,17.602440612656316,TS,TS
13093,2017224N22293,2017,GERT,velocity,True,468.47605076609574,0.661267278862092,False,90.0,12,2017-08-15 00:00:00,30.80000114440918,-72.30000305175781,-1.616510692559107,5.039316589627532,15.752612840583371,6.655827282186639,TS,TS
13103,2017247N09327,2017,JOSE,velocity,False,1150.9955854121226,0.8560953657985386,False,324.0,30,2017-09-11 18:00:00,26.5,-69.5,-12.718972540609103,8.627560569977236,4.169816818754007,21.34653311058634,TS,HU
13111,2017258N10337,2017,LEE,velocity,False,745.4895484623283,0.6676199118515745,False,54.0,53,2017-09-28 00:00:00,31.400001525878906,-57.20000076293945,-8.40317434437818,6.485387197769704,19.922420822358582,14.888561542147883,TS,HU
13115,2017277N11279,2017,NATE,velocity,True,0.0,0.999224022365506,False,78.0,17,2017-10-07 18:00:00,27.600000381469727,-88.9000015258789,-15.648475834983472,7.035097110630662,30.11528379592253,22.683572945614134,TS,HU
