dataset_index,sid,season,baseline_distance_km,alternative_distance_km,absolute_difference_km,baseline_relevant,alternative_relevant
7323,1967293N21306,1967,804.8027025876528,788.3189817222475,16.483720865405303,False,False
7373,1968153N17275,1968,1832.632551650797,1774.1861143736373,58.4464372771597,False,False
7380,1968174N20265,1968,1501.6893150102455,1468.719089489885,32.9702255203606,False,False
7441,1968268N26287,1968,1224.3760603058304,1179.443770762753,44.93228954307733,False,False
7449,1968288N14280,1968,223.26150245524812,221.24392767981897,2.0175747754291535,True,True
7519,1969206N09333,1969,463.69997935644966,455.3098176973528,8.390161659096862,True,True
7532,1969226N18280,1969,411.1059570184948,403.7044446497332,7.401512368761587,True,True
7533,1969227N13325,1969,35.31851066685419,35.119785271558214,0.19872539529597333,True,True
7560,1969264N16313,1969,1403.5913480753923,1345.883280929673,57.70806714571927,False,False
7574,1969281N20292,1969,420.387693120833,413.2912891844266,7.096403936406375,True,True
7579,1969290N18275,1969,3672.990790657382,3442.8491343093033,230.14165634807887,False,False
7582,1969302N31318,1969,655.7398232454399,647.3774357881822,8.362387457257682,False,False
7661,1970200N19277,1970,2565.716630925288,2496.595382815985,69.121248109303,False,False
7679,1970220N14342,1970,110.04819481222692,108.96610764553911,1.0820871666878134,True,True
7708,1970255N25283,1970,2846.7805437042957,2761.740334356658,85.04020934763776,False,False
7720,1970274N15306,1970,1122.9378809774794,1113.332211751608,9.605669225871452,False,False
7730,1970286N25292,1970,608.2743412626403,596.1431035498817,12.131237712758548,False,True
7845,1971216N31297,1971,278.40234146026904,275.08598887806505,3.31635258220399,True,True
7857,1971233N12313,1971,644.2975543472035,641.7753139216813,2.5222404255221136,False,False
7871,1971249N26289,1971,1644.5906790281792,1587.3913983103055,57.19928071787376,False,False
7875,1971254N27288,1971,786.7378877493111,779.0523098067104,7.68557794260073,False,False
7970,1972167N20271,1972,1394.8399038919988,1369.4852531513102,25.354650740688612,False,False
7984,1972199N37322,1972,1297.7956631129093,1258.054128856521,39.74153425638838,False,False
8010,1972243N29282,1972,289.51760535446846,287.55215937174614,1.965445982722315,True,True
8014,1972249N24281,1972,1693.5853158841157,1636.5375015436903,57.047814340425475,False,False
8030,1972276N30307,1972,833.4640821759857,811.0079805330215,22.4561016429642,False,False
8033,1972280N12342,1972,1477.0026768444206,1414.0959017665973,62.90677507782334,False,False
8112,1973109N24295,1973,2303.265170820947,2162.2913577891295,140.97381303181737,False,False
8165,1973258N11338,1973,821.13716732881,804.224610342336,16.9125569864741,False,False
8182,1973289N16278,1973,1.0929128730330788,1.5082892321371733,0.41537635910409443,True,True
8304,1974239N27291,1974,551.187644549279,539.9307782616602,11.256866287618777,True,True
8310,1974246N27292,1974,389.27905567449864,384.20442590395044,5.074629770548199,True,True
8311,1974248N15310,1974,638.1242106195762,624.0665774878042,14.057633131771922,False,False
8320,1974267N18276,1974,3067.511395267236,2903.984532554433,163.526862712803,False,False
8323,1974277N21285,1974,1254.3266667718585,1214.90627188746,39.42039488439855,False,False
8403,1975176N33308,1975,788.1764179242804,768.3226750388767,19.853742885403676,False,False
8415,1975205N26292,1975,239.50082189382613,237.98730075547647,1.5135211383496596,True,True
8438,1975241N33314,1975,989.1485962208069,971.5856345103883,17.562961710418563,False,False
8450,1975256N18306,1975,2191.1251902800163,2129.7031542730087,61.42203600700759,False,False
8454,1975261N18327,1975,499.4840914746874,489.6235722616348,9.860519213052555,True,True
8455,1975266N10325,1975,103.59346184263332,103.43378417788928,0.15967766474403788,True,True
8463,1975277N28327,1975,2067.531974211618,1982.0480957855236,85.4838784260944,False,False
8466,1975288N21268,1975,3436.76131915215,3271.0491921609264,165.7121269912236,False,False
8474,1975298N29281,1975,1599.5064673118843,1549.6746628789488,49.83180443293554,False,False
8580,1976203N31288,1976,1875.41226191998,1801.0172840049368,74.39497791504323,False,False
8585,1976211N28308,1976,2381.8731284458945,2313.9000680425215,67.97306040337298,False,False
8591,1976219N26287,1976,1188.826673188137,1169.5564244277057,19.270248760431286,False,False
8602,1976234N14312,1976,1343.440849828301,1290.2567109156596,53.1841389126414,False,False
8606,1976241N13323,1976,1979.5336432161278,1951.0158472476405,28.517795968487235,False,False
8624,1976271N23302,1976,1164.4160983765685,1124.3984961414596,40.017602235108825,False,False
8729,1977249N33280,1977,737.7165147241674,720.1048211446213,17.611693579546113,False,False
8748,1977287N27297,1977,0.0,0.0,0.0,True,True
8850,1978239N23272,1978,3261.9985926685185,3149.6288695892213,112.36972307929727,False,False
8853,1978242N26300,1978,67.32426961092926,67.29067730597033,0.03359230495892973,True,True
8856,1978247N12321,1978,1338.0146073736294,1302.5035841731149,35.5110232005145,False,False
8857,1978247N14344,1978,1592.4014585109371,1542.1421718993724,50.259286611564676,False,False
8875,1978276N32329,1978,2125.003468989571,2073.941315520251,51.06215346932004,False,False
8890,1978302N24287,1978,662.6625411527679,648.0995803196435,14.562960833124407,False,False
8966,1979197N13314,1979,1986.0209141398059,1937.8740587805005,48.14685535930539,False,False
8973,1979213N17306,1979,0.0,0.0,0.0,True,True
8985,1979238N12324,1979,0.0,0.0,0.0,True,True
8989,1979241N11335,1979,644.2975543472035,641.7753139216813,2.5222404255221136,False,False
8993,1979245N20338,1979,1671.6971835582744,1626.9406006816184,44.75658287665601,False,False
8995,1979248N16339,1979,1457.8947382028196,1413.392361867632,44.50237633518759,False,False
9083,1980204N23287,1980,1210.7948457994137,1174.78284276313,36.01200303628366,False,False
9091,1980226N15339,1980,2376.4448221139646,2269.2118492381937,107.23297287577088,False,False
9092,1980227N13325,1980,1093.510485709321,1084.824060162099,8.686425547222143,False,False
9099,1980245N16322,1980,192.1677930174002,189.94158629220706,2.226206725193123,True,True
9102,1980249N18336,1980,1176.1397265991868,1151.2259115768281,24.913815022358676,False,False
9104,1980250N13341,1980,735.9170594675377,724.1011986603253,11.815860807212403,False,False
9114,1980275N34340,1980,1465.1809083692,1436.3117657013472,28.869142667852884,False,False
9125,1980313N14277,1980,4034.2458489128835,3793.0344985652164,241.21135034766712,False,False
9128,1980318N13280,1980,2840.9775414190544,2697.539791765737,143.4377496533175,False,False
9216,1981244N30287,1981,425.2320791800455,417.46658728629365,7.765491893751857,True,True
9218,1981247N16300,1981,1486.0003854935921,1424.3182512438987,61.68213424969349,False,False
9219,1981250N15306,1981,997.3554393900986,967.1972042604526,30.15823512964596,False,False
